,CID,name,smiles,7.1 Drug Indication,8.1 Pharmacodynamics,8.2 MeSH Pharmacological Classification,"8.5 Absorption,Distribution and Excretion",8.6 Metabolism/Metabolites,8.7 Biological Half-Life
0,1970001,"2-{[2-oxo-2-(piperidin-1-yl)ethyl]sulfanyl}-3-propyl-3H-spiro[benzo[h]quinazoline-5,1'-cyclohexan]-4(6H)-one",CCCN1C(=O)C2=C(C3=CC=CC=C3CC24CCCCC4)N=C1SCC(=O)N5CCCCC5,,,,,,
1,1970002,"2-chloro-N-(1-ethyl-4-oxo-3-phenyl-1,4-dihydroquinolin-2-yl)benzamide",CCN1C2=CC=CC=C2C(=O)C(=C1NC(=O)C3=CC=CC=C3Cl)C4=CC=CC=C4,,,,,,
2,1970003,"Ethyl 5-amino-2-methyl-7-oxo-6-(pyrrol-2-ylidenemethyl)-[1,3]thiazolo[3,2-a]pyrimidine-3-carboxylate",CCOC(=O)C1=C(SC2=NC(=O)C(=C(N12)N)C=C3C=CC=N3)C,,,,,,
3,1970004,3-bromo-N-[4-(2-chlorophenyl)-6-methyl-5-oxo-2-phenylpyridazin-3-yl]benzamide,CC1=NN(C(=C(C1=O)C2=CC=CC=C2Cl)NC(=O)C3=CC(=CC=C3)Br)C4=CC=CC=C4,,,,,,
4,1970005,CID 1970005,C1=CC=C(C=C1)C[N+]2=C(NC3=CC=CC=C32)SCC(=O)N/N=C/C=C\C4=CC=CC=C4[N+](=O)[O-],,,,,,
5,1970006,"N-[4-[(2R)-butan-2-yl]phenyl]-2-[[4-(4-methylphenyl)-5-(phenoxymethyl)-1,2,4-triazol-3-yl]sulfanyl]acetamide",CC[C@@H](C)C1=CC=C(C=C1)NC(=O)CSC2=NN=C(N2C3=CC=C(C=C3)C)COC4=CC=CC=C4,,,,,,
6,1970007,"N-[4-[(2S)-butan-2-yl]phenyl]-2-[[4-(4-methylphenyl)-5-(phenoxymethyl)-1,2,4-triazol-3-yl]sulfanyl]acetamide",CC[C@H](C)C1=CC=C(C=C1)NC(=O)CSC2=NN=C(N2C3=CC=C(C=C3)C)COC4=CC=CC=C4,,,,,,
7,1970008,2-(2-Ethyl-6-methylphenyl)-3-hydroxy-4-(2-hydroxyethyliminomethyl)isoquinolin-1-one,CCC1=CC=CC(=C1N2C(=C(C3=CC=CC=C3C2=O)C=NCCO)O)C,,,,,,
8,1970009,CID 1970009,C1=CC=C(C=C1)C[N+]2=C(NC3=CC=CC=C32)SCC(=O)N/N=C/C=C/C4=CC=CC=C4[N+](=O)[O-],,,,,,
9,1970010,"6-chloro-7-methyl-N-[4-(6-methyl-1,3-benzothiazol-2-yl)phenyl]-4-oxo-4H-chromene-2-carboxamide",CC1=CC2=C(C=C1)N=C(S2)C3=CC=C(C=C3)NC(=O)C4=CC(=O)C5=C(O4)C=C(C(=C5)Cl)C,,,,,,
