,CID,name,smiles,7.1 Drug Indication,8.1 Pharmacodynamics,8.2 MeSH Pharmacological Classification,"8.5 Absorption,Distribution and Excretion",8.6 Metabolism/Metabolites,8.7 Biological Half-Life
0,1980001,"3,3-dimethyl-N-{5-[(4-nitrophenyl)sulfonyl]-1,3-thiazol-2-yl}butanamide",CC(C)(C)CC(=O)NC1=NC=C(S1)S(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-],,,,,,
1,1980002,CID 1980002,CC1=CC=C(C=C1)C2=C[C@@H](N(N2)C(=O)C3=CC=CC=C3F)C4=C(N=C5C=C(C=CC5=C4)OC)Cl,,,,,,
2,1980003,"N-(1-butyl-6-methyl-1H-pyrazolo[3,4-b]quinolin-3-yl)-2-methoxyacetamide",CCCCN1C2=C(C=C3C=C(C=CC3=N2)C)C(=N1)NC(=O)COC,,,,,,
3,1980004,3-[4-(4-tert-butyl-2-methylphenoxy)butyl]-2-(4-methoxyphenyl)quinazolin-4(3H)-one,CC1=C(C=CC(=C1)C(C)(C)C)OCCCCN2C(=NC3=CC=CC=C3C2=O)C4=CC=C(C=C4)OC,,,,,,
4,1980005,CID 1980005,CC1=CC=C(C=C1)C2=C[C@H](N(N2)C(=O)C3=CC=CC=C3F)C4=C(N=C5C=C(C=CC5=C4)OC)Cl,,,,,,
5,1980006,"2-{[4-amino-5-(furan-2-yl)-4H-1,2,4-triazol-3-yl]sulfanyl}-N-[4-(dimethylamino)phenyl]acetamide",CN(C)C1=CC=C(C=C1)NC(=O)CSC2=NN=C(N2N)C3=CC=CO3,,,,,,
6,1980007,"N-(3,5-dichlorophenyl)-2-{[4-(furan-2-ylmethyl)-5-(pyridin-3-yl)-4H-1,2,4-triazol-3-yl]sulfanyl}acetamide",C1=CC(=CN=C1)C2=NN=C(N2CC3=CC=CO3)SCC(=O)NC4=CC(=CC(=C4)Cl)Cl,,,,,,
7,1980008,CID 1980008,COC1=CC=CC=C1OCCCOC2=C(C=C(C=C2)/C=C/3\C(=N)N4C(=NC3=O)SC(=N4)C5=CC=CS5)OC,,,,,,
8,1980009,"2-[[(1S)-2-[2-(2,6-dimethyl-1H-indol-3-yl)-2-oxoethyl]-1,2,3,4-tetrahydroisoquinolin-2-ium-1-yl]methyl]isoindole-1,3-dione",CC1=CC2=C(C=C1)C(=C(N2)C)C(=O)C[NH+]3CCC4=CC=CC=C4[C@H]3CN5C(=O)C6=CC=CC=C6C5=O,,,,,,
9,1980010,"2-[[(1S)-2-[2-(2,6-dimethyl-1H-indol-3-yl)-2-oxoethyl]-3,4-dihydro-1H-isoquinolin-1-yl]methyl]isoindole-1,3-dione",CC1=CC2=C(C=C1)C(=C(N2)C)C(=O)CN3CCC4=CC=CC=C4[C@H]3CN5C(=O)C6=CC=CC=C6C5=O,,,,,,
10,1980011,"(6Z)-5-imino-6-{3-methoxy-4-[3-(2-methoxyphenoxy)propoxy]benzylidene}-2-(thiophen-2-yl)-5,6-dihydro-7H-[1,3,4]thiadiazolo[3,2-a]pyrimidin-7-one",COC1=CC=CC=C1OCCCOC2=C(C=C(C=C2)/C=C\3/C(=N)N4C(=NC3=O)SC(=N4)C5=CC=CS5)OC,,,,,,
11,1980012,"diethyl-[3-[(5Z)-5-[(5-methylfuran-2-yl)methylidene]-4-oxo-2-sulfanylidene-1,3-thiazolidin-3-yl]propyl]azanium",CC[NH+](CC)CCCN1C(=O)/C(=C/C2=CC=C(O2)C)/SC1=S,,,,,,
12,1980013,"(5Z)-3-[3-(diethylamino)propyl]-5-[(5-methylfuran-2-yl)methylidene]-2-thioxo-1,3-thiazolidin-4-one",CCN(CC)CCCN1C(=O)/C(=C/C2=CC=C(O2)C)/SC1=S,,,,,,
13,1980014,"2-[[(1R)-2-[2-(2,6-dimethyl-1H-indol-3-yl)-2-oxoethyl]-1,2,3,4-tetrahydroisoquinolin-2-ium-1-yl]methyl]isoindole-1,3-dione",CC1=CC2=C(C=C1)C(=C(N2)C)C(=O)C[NH+]3CCC4=CC=CC=C4[C@@H]3CN5C(=O)C6=CC=CC=C6C5=O,,,,,,
14,1980015,"2-[[(1R)-2-[2-(2,6-dimethyl-1H-indol-3-yl)-2-oxoethyl]-3,4-dihydro-1H-isoquinolin-1-yl]methyl]isoindole-1,3-dione",CC1=CC2=C(C=C1)C(=C(N2)C)C(=O)CN3CCC4=CC=CC=C4[C@@H]3CN5C(=O)C6=CC=CC=C6C5=O,,,,,,
15,1980016,CID 1980016,CC[NH+](CC)CCCN1C(=O)/C(=C\C2=CC=C(O2)C)/SC1=S,,,,,,
16,1980017,CID 1980017,CCN(CC)CCCN1C(=O)/C(=C\C2=CC=C(O2)C)/SC1=S,,,,,,
17,1980018,(2E)-3-{[4-(dimethylamino)phenyl]amino}-1-(furan-2-yl)prop-2-en-1-one,CN(C)C1=CC=C(C=C1)N/C=C/C(=O)C2=CC=CO2,,,,,,
18,1980019,"3-[[4-Cyano-2-(3-methylphenyl)-1,3-oxazol-5-yl]amino]propyl-dimethylazanium",CC1=CC(=CC=C1)C2=NC(=C(O2)NCCC[NH+](C)C)C#N,,,,,,
19,1980020,"5-{[3-(Dimethylamino)propyl]amino}-2-(3-methylphenyl)-1,3-oxazole-4-carbonitrile",CC1=CC(=CC=C1)C2=NC(=C(O2)NCCCN(C)C)C#N,,,,,,
20,1980021,CID 1980021,C1=CC=C2[C@H]3[C@@H]4[C@H]([C@@H](N3N=CC2=C1)C(=O)C5=CC=C(C=C5)Cl)C(=O)N(C4=O)C6=CC(=CC=C6)Cl,,,,,,
21,1980022,"1-[2-Methyl-5-(6-methyl[1,2,4]triazolo[3,4-a]phthalazin-3-yl)phenyl]-3-phenylurea",CC1=C(C=C(C=C1)C2=NN=C3N2N=C(C4=CC=CC=C43)C)NC(=O)NC5=CC=CC=C5,,,,,,
22,1980023,CID 1980023,C1=CC=C2[C@@H]3[C@@H]4[C@H]([C@@H](N3N=CC2=C1)C(=O)C5=CC=C(C=C5)Cl)C(=O)N(C4=O)C6=CC(=CC=C6)Cl,,,,,,
23,1980024,CID 1980024,C1=CC=C2C(=C1)N=C(O2)C3=C(C=CC(=C3)NC(=S)NC(=O)/C=C\C4=CC=CO4)O,,,,,,
24,1980025,CID 1980025,CC[C@@H](C)NC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)N=CC4=CC(=CC=C4)Cl)N,,,,,,
25,1980026,CID 1980026,C=C(C1=CC(=C(C=C1)Cl)Cl)NNC(=O)C2=CC(=NN2)C3=CC(=C(C=C3)Cl)Cl,,,,,,
26,1980027,CID 1980027,CC[C@H](C)NC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)N=CC4=CC(=CC=C4)Cl)N,,,,,,
27,1980028,"3-(4-chlorophenyl)-2-[(4-fluorobenzyl)sulfanyl]-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",C1CCC2=C(C1)C3=C(S2)N=C(N(C3=O)C4=CC=C(C=C4)Cl)SCC5=CC=C(C=C5)F,,,,,,
28,1980029,"(3R,3aS,6aR)-3,5-bis(4-chlorophenyl)-2-phenyl-3a,6a-dihydro-3H-pyrrolo[3,4-d][1,2]oxazole-4,6-dione",C1=CC=C(C=C1)N2[C@H]([C@H]3[C@@H](O2)C(=O)N(C3=O)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,,,,,,
29,1980030,"(5Z)-4-hydroxy-5-{[1-(naphthalen-2-ylmethyl)-1H-indol-3-yl]methylidene}-1,5-dihydro-2H-imidazol-2-one",C1=CC=C2C=C(C=CC2=C1)CN3C=C(C4=CC=CC=C43)/C=C\5/C(=O)NC(=O)N5,,,,,,
30,1980031,"ethyl 4-[[(4R)-5-cyano-4-(2-methoxyphenyl)-2-oxo-3,4-dihydro-1H-pyridin-6-yl]sulfanyl]-3-oxobutanoate",CCOC(=O)CC(=O)CSC1=C([C@H](CC(=O)N1)C2=CC=CC=C2OC)C#N,,,,,,
31,1980032,"ethyl 4-[[(4S)-5-cyano-4-(2-methoxyphenyl)-2-oxo-3,4-dihydro-1H-pyridin-6-yl]sulfanyl]-3-oxobutanoate",CCOC(=O)CC(=O)CSC1=C([C@@H](CC(=O)N1)C2=CC=CC=C2OC)C#N,,,,,,
32,1980033,"2-[[(4R)-5-cyano-4-(2-fluorophenyl)-2-oxo-3,4-dihydro-1H-pyridin-6-yl]sulfanyl]-N-(1,3-thiazol-2-yl)acetamide",C1[C@@H](C(=C(NC1=O)SCC(=O)NC2=NC=CS2)C#N)C3=CC=CC=C3F,,,,,,
33,1980034,"2-((3-Ethyl-5,6-dimethyl-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidin-2-yl)thio)-N-(4-sulfamoylphenyl)acetamide",CCN1C(=O)C2=C(N=C1SCC(=O)NC3=CC=C(C=C3)S(=O)(=O)N)SC(=C2C)C,,,,,,
34,1980035,N-[4-[(2R)-butan-2-yl]phenyl]-3-[2-(pyrazine-2-carbonyl)hydrazinyl]but-3-enamide,CC[C@@H](C)C1=CC=C(C=C1)NC(=O)CC(=C)NNC(=O)C2=NC=CN=C2,,,,,,
35,1980036,"2-[[(4S)-5-cyano-4-(2-fluorophenyl)-2-oxo-3,4-dihydro-1H-pyridin-6-yl]sulfanyl]-N-(1,3-thiazol-2-yl)acetamide",C1[C@H](C(=C(NC1=O)SCC(=O)NC2=NC=CS2)C#N)C3=CC=CC=C3F,,,,,,
36,1980037,CID 1980037,C1=CC=C(C=C1)/C(=C\CC(=O)[O-])/NNC(=O)CNC(=O)CC2=CC=C(C=C2)Cl,,,,,,
37,1980038,CID 1980038,C1=CC=C(C=C1)/C(=C\CC(=O)O)/NNC(=O)CNC(=O)CC2=CC=C(C=C2)Cl,,,,,,
