,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,465001,CID 465001,C1CC2=C(C(=O)C(=C(N2C1)O)CC3=CC=CC=C3)C4=CC=CC=C4,,,,,,
1,465002,CID 465002,C1CC2=C(C(=O)C(=C(N2C1)O)C3=CC=CC=C3)C4=CC=C(C=C4)Cl,,,,,,
2,465003,CID 465003,C1CC2=CC(=O)C(=C(N2C1)O)C3=CC=CC=C3,,,,,,
3,465004,CID 465004,CCCCC1=C(N2CCCC2=CC1=O)O,,,,,,
4,465005,CID 465005,CCOC(=O)C1=C2CCCN2C(=C(C1=O)C3=CC=CC=C3)O,,,,,,
5,465006,CID 465006,CCOC(=O)C1=C2CCCN2C(=C(C1=O)CC3=CC=CC=C3)O,,,,,,
6,465007,CID 465007,CCOC(=O)C1=C2CCCN2C(=C(C1=O)C)O,,,,,,
7,465008,CID 465008,C1CC2=C(C(=O)C(=C(N2C1)O)C3=CC=CC=C3)C(=O)O,,,,,,
8,465009,CID 465009,C1CC2=C(C(=O)C(=C(N2C1)O)CC3=CC=CC=C3)C(=O)O,,,,,,
9,465010,CID 465010,C1CC2=C(C(=O)C=C(N2C1)O)C(=O)O,,,,,,
10,465011,CID 465011,C1CC2=CC3=C(C(=O)C(=C(O3)O)CC4=CC=CC=C4)C(=O)N2C1,,,,,,
11,465012,CID 465012,C1CC2=CC3=C(C(=O)C(=C(O3)O)C4=CC=CC=C4)C(=O)N2C1,,,,,,
12,465013,CID 465013,C1CC2=C3C(=C(C(=O)N2C1)CC4=CC=CC=C4)OC(=C(C3=O)C5=CC=CC=C5)O,,,,,,
13,465014,CID 465014,C1CC2=C3C(=C(C(=O)N2C1)C4=CC=CC=C4)OC(=C(C3=O)CC5=CC=CC=C5)O,,,,,,
14,465015,"(6R,7R)-3-(acetoxymethyl)-8-oxo-7-[[2-(4-pyridylsulfanyl)acetyl]amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid; (2S,5R)-3,3-dimethyl-4,4,7-trioxo-4$l^{6}-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CSC3=CC=NC=C3)SC1)C(=O)[O-].CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C.[Na+],,,,,,
15,465016,"(2S,5R)-3,3-dimethyl-4,4,7-trioxo-4$l^{6}-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid; (6R,7R)-7-[[(2R)-2-hydroxy-2-phenyl-acetyl]amino]-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C.CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)[C@@H](C4=CC=CC=C4)O)SC2)C(=O)O,,,,,,
16,465017,CID 465017,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)O.CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C,,,,,,
17,465018,CID 465018,C[C@]1(C(=O)N2[C@@]1(SCC(=C2C(=O)[O-])CSC3=NC(=O)C(=O)N([N-]3)C)C)NC(=O)C(=NOC)C4=CSC(=N4)N.CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C.[Na+].[Na+],,,,,,
18,465019,CID 465019,C[C@]1(C(=O)N2[C@@]1(SCC(=C2C(=O)O)CSC3=NC(=O)C(=O)N(N3)C)C)NC(=O)C(=NOC)C4=CSC(=N4)N,,,,,,
19,465020,CID 465020,C[C@H]1C=CC=C(C(=O)N=C2C(=CNN3CCN(CC3)CC=CC4=CC=CC=C4)C(=C5C(=C2O)C(=C(C6=C5C(=O)[C@](O6)(OC=C[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C,,,,,,
