,CID,name,smiles,7.1 Drug Indication,8.1 Pharmacodynamics,8.2 MeSH Pharmacological Classification,"8.5 Absorption,Distribution and Excretion",8.6 Metabolism/Metabolites,8.7 Biological Half-Life
0,70001,CID 70001,C1=CC(=CC=C1O)S(=O)(=O)[O-].[Na+],,,,,,
1,70002,"Silane, trichloro(4-chlorophenyl)-",C1=CC(=CC=C1[Si](Cl)(Cl)Cl)Cl,,,,,,
2,70003,1-Benzosuberone,C1CCC(=O)C2=CC=CC=C2C1,,,,,,
3,70004,1-Vinylnaphthalene,C=CC1=CC=CC2=CC=CC=C21,,,,,,
4,70005,"4,6-Dimethylquinoline",CC1=CC2=C(C=CN=C2C=C1)C,,,,,,
5,70006,5-Amino-1-phenylpyrazole,C1=CC=C(C=C1)N2C(=CC=N2)N,,,,,,
6,70007,"1,2-Dibromotetrafluorobenzene",C1(=C(C(=C(C(=C1F)Br)Br)F)F)F,,,,,,
7,70008,Iodopentafluorobenzene,C1(=C(C(=C(C(=C1F)F)I)F)F)F,,,,,,
8,70009,"2,4-Dibromo-6-nitroaniline",C1=C(C=C(C(=C1[N+](=O)[O-])N)Br)Br,,,,,,
9,70010,CID 70010,C1=CC=C(C(=C1)C(=O)O)C(=O)[O-].[Na+],,,,,,
10,70011,"3H-1,2-Dithiol-3-one, 5-phenyl-",C1=CC=C(C=C1)C2=CC(=O)SS2,,,,,,
11,70012,4-Methyl-2-phenyl-1H-imidazole,CC1=CN=C(N1)C2=CC=CC=C2,,,,,,
12,70013,1-(1-Cyclopropylvinyl)-4-fluorobenzene,C=C(C1CC1)C2=CC=C(C=C2)F,,,,,,
13,70014,Sodium 3-nitrobenzoate,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)[O-].[Na+],,,,,,
14,70015,4-(Trifluoromethoxy)phenol,C1=CC(=CC=C1O)OC(F)(F)F,,,,,,
15,70016,"2',4'-Dimethoxyacetophenone",CC(=O)C1=C(C=C(C=C1)OC)OC,,,,,,
16,70017,Diphenylphosphine,C1=CC=C(C=C1)PC2=CC=CC=C2,,,,,,
17,70018,4-(Trifluoromethyl)benzenesulfonamide,C1=CC(=CC=C1C(F)(F)F)S(=O)(=O)N,,,,,,
18,70019,"2,4,6-Trimethoxybenzaldehyde",COC1=CC(=C(C(=C1)OC)C=O)OC,,,,,,
19,70020,"2',4'-Dimethoxypropiophenone",CCC(=O)C1=C(C=C(C=C1)OC)OC,,,,,,
20,70021,"4-(4-Nitrophenyl)-1,3-thiazolidine",C1C(NCS1)C2=CC=C(C=C2)[N+](=O)[O-],,,,,,
21,70022,CID 70022,C1=C(C=C(C(=O)C1=N)C(=O)O)N(O)O,,,,,,
22,70023,"3-(1,1,2,2-Tetrafluoroethoxy)aniline",C1=CC(=CC(=C1)OC(C(F)F)(F)F)N,,,,,,
23,70024,2-Methyl-3-(4-i-propylphenyl)prop-2-enal,CC(C)C1=CC=C(C=C1)C=C(C)C=O,,,,,,
24,70025,Dicyclohexylphosphinic acid,C1CCC(CC1)P(=O)(C2CCCCC2)O,,,,,,
25,70026,Pentafluorobenzenesulfonyl chloride,C1(=C(C(=C(C(=C1F)F)S(=O)(=O)Cl)F)F)F,,,,,,
26,70027,"(2,3,4,5,6-Pentafluorophenyl)acetyl chloride",C(C1=C(C(=C(C(=C1F)F)F)F)F)C(=O)Cl,,,,,,
27,70028,9-Diazofluorene,C1=CC=C2C(=C1)C3=CC=CC=C3C2=[N+]=[N-],,,,,,
28,70029,"10,11-Dihydro-5H-dibenzo[a,d]cycloheptene",C1CC2=CC=CC=C2CC3=CC=CC=C31,,,,,,
29,70030,2-Phenylbenzoxazole,C1=CC=C(C=C1)C2=NC3=CC=CC=C3O2,,,,,,
30,70031,CID 70031,C1=CC2=C(C=CC(=C2)S(=O)(=O)[O-])C=C1O.[K+],,,,,,
31,70032,5-(4-Methylphenyl)-5-oxopentanoic acid,CC1=CC=C(C=C1)C(=O)CCCC(=O)O,,,,,,
32,70033,"Propiophenone, 3-(1-pyrrolidinyl)-, hydrochloride",C1CCN(C1)CCC(=O)C2=CC=CC=C2.Cl,,,,,,
33,70034,1-Phenyl-3-(pyrrolidin-1-yl)propan-1-one,C1CCN(C1)CCC(=O)C2=CC=CC=C2,,,,,,
34,70035,m-(Benzyloxy)toluene,CC1=CC(=CC=C1)OCC2=CC=CC=C2,,,,,,
35,70036,Benzyl p-tolyl ether,CC1=CC=C(C=C1)OCC2=CC=CC=C2,,,,,,
36,70037,"2',4',6'-Trimethoxypropiophenone",CCC(=O)C1=C(C=C(C=C1OC)OC)OC,,,,,,
37,70038,"2,2'-Dihydroxybenzophenone",C1=CC=C(C(=C1)C(=O)C2=CC=CC=C2O)O,,,,,,
38,70039,"Benzoxazole, 2-(4-methylphenyl)-",CC1=CC=C(C=C1)C2=NC3=CC=CC=C3O2,,,,,,
39,70040,2-Phenethylbenzyl alcohol,C1=CC=C(C=C1)CCC2=CC=CC=C2CO,,,,,,
40,70041,o-(Benzyloxy)anisole,COC1=CC=CC=C1OCC2=CC=CC=C2,,,,,,
41,70042,4-Benzyloxybenzyl chloride,C1=CC=C(C=C1)COC2=CC=C(C=C2)CCl,,,,,,
42,70043,4-Benzyloxybenzyl alcohol,C1=CC=C(C=C1)COC2=CC=C(C=C2)CO,,,,,,
43,70044,"Phenol, 2-[1-(4-hydroxyphenyl)-1-methylethyl]-",CC(C)(C1=CC=C(C=C1)O)C2=CC=CC=C2O,,,,,,
44,70045,"N,N-diethyl-2,4-dinitroaniline",CCN(CC)C1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],,,,,,
45,70046,4-Fluorosulfonyl-1-hydroxy-2-naphthoic acid,C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)S(=O)(=O)F,,,,,,
46,70047,"Benzoxazole, 2-(4-nitrophenyl)-",C1=CC=C2C(=C1)N=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],,,,,,
47,70048,1-Benzhydrylpiperazine,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=CC=C3,,,,,['1-Benzhydrylpiperazine is a known human metabolite of cinnarizine.'],
48,70049,"1,3-Naphthalenedisulfonic acid, 7-amino-, disodium salt",C1=CC(=CC2=C(C=C(C=C21)S(=O)(=O)[O-])S(=O)(=O)[O-])N.[Na+].[Na+],,,,,,
49,70050,"Dipotassium 7-hydroxynaphthalene-1,3-disulphonate",C1=CC(=CC2=C(C=C(C=C21)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[K+].[K+],,,,,,
50,70051,"1,3-Naphthalenedisulfonic acid, 7-hydroxy-, disodium salt",C1=CC(=CC2=C(C=C(C=C21)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+].[Na+],,,,,,
51,70052,"2-(4-Methoxyphenyl)-5-phenyl-1,3,4-oxadiazole",COC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=CC=C3,,,,,,
52,70053,"4,4'-(1,4-Cyclohexanediyl)bisphenol",C1CC(CCC1C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,,,,,,
53,70054,"2-[2-Chloro-4-(hydroxyimino)-5-methylcyclohexa-2,5-dien-1-ylidene]-2-(4-chlorophenyl)acetonitrile",CC1=CC(=C(C#N)C2=CC=C(C=C2)Cl)C(=CC1=NO)Cl,,,,,,
54,70055,"2,5-Diphenyl-1,4-benzoquinone",C1=CC=C(C=C1)C2=CC(=O)C(=CC2=O)C3=CC=CC=C3,,,,,,
55,70056,4'-Methoxy-3-(trifluoromethyl)benzophenone,COC1=CC=C(C=C1)C(=O)C2=CC(=CC=C2)C(F)(F)F,,,,,,
56,70057,"Benzo[e][1]benzothiopyrano[4,3-b]indole",C1=CC=C2C(=C1)C=CC3=C2C4=CSC5=CC=CC=C5C4=N3,,,,,,
57,70058,2-(1-Naphthyl)-5-phenyloxazole,C1=CC=C(C=C1)C2=CN=C(O2)C3=CC=CC4=CC=CC=C43,,,,,,
