,CID,name,smiles,7.1 Drug Indication,8.1 Pharmacodynamics,8.2 MeSH Pharmacological Classification,"8.5 Absorption,Distribution and Excretion",8.6 Metabolism/Metabolites,8.7 Biological Half-Life
0,1960001,"(2R)-2-[6-amino-3,5-dicyano-4-(2-methylpropyl)pyridin-1-ium-2-yl]sulfanyl-2-phenylacetamide",CC(C)CC1=C(C(=[NH+]C(=C1C#N)S[C@H](C2=CC=CC=C2)C(=O)N)N)C#N,,,,,,
1,1960002,"(2R)-2-[6-amino-3,5-dicyano-4-(2-methylpropyl)pyridin-2-yl]sulfanyl-2-phenylacetamide",CC(C)CC1=C(C(=NC(=C1C#N)S[C@H](C2=CC=CC=C2)C(=O)N)N)C#N,,,,,,
2,1960003,CID 1960003,CC1(CC2=C(CO1)SC3=C2C4=NC(=NN4C=N3)C[NH+]5CCC(CC5)CC6=CC=CC=C6)C,,,,,,
3,1960004,"4-[(4-Benzylpiperidin-1-yl)methyl]-14,14-dimethyl-13-oxa-10-thia-3,5,6,8-tetrazatetracyclo[7.7.0.02,6.011,16]hexadeca-1(9),2,4,7,11(16)-pentaene",CC1(CC2=C(CO1)SC3=C2C4=NC(=NN4C=N3)CN5CCC(CC5)CC6=CC=CC=C6)C,,,,,,
4,1960005,2-[2-Amino-5-(4-chlorophenyl)-4-pyrimidinyl]-5-[(2-chloro-6-fluorobenzyl)oxy]phenol,C1=CC(=C(C(=C1)Cl)COC2=CC(=C(C=C2)C3=NC(=NC=C3C4=CC=C(C=C4)Cl)N)O)F,,,,,,
5,1960006,"7-bromo-3-(2-methoxyethyl)-2-(4-methoxyphenyl)-4H-chromeno[2,3-d]pyrimidine-4,5(3H)-dione",COCCN1C(=NC2=C(C1=O)C(=O)C3=C(O2)C=CC(=C3)Br)C4=CC=C(C=C4)OC,,,,,,
6,1960007,CID 1960007,CC1=CC=CC=C1NC(=O)[C@H]2[C@@H](N3C(=NC(=N3)C)NC2=C)C4=CC(=C(C(=C4)OC)OC)OC,,,,,,
7,1960008,CID 1960008,CC1=CC=CC=C1NC(=O)[C@@H]2[C@H](N3C(=NC(=N3)C)NC2=C)C4=CC(=C(C(=C4)OC)OC)OC,,,,,,
8,1960009,"(5E)-5-(1-ethyl-2-oxoindol-3-ylidene)-3-(3-methoxypropyl)-2-sulfanylidene-1,3-thiazolidin-4-one",CCN1C2=CC=CC=C2/C(=C\3/C(=O)N(C(=S)S3)CCCOC)/C1=O,,,,,,
9,1960010,"(5Z)-5-(1-ethyl-2-oxoindol-3-ylidene)-3-(3-methoxypropyl)-2-sulfanylidene-1,3-thiazolidin-4-one",CCN1C2=CC=CC=C2/C(=C/3\C(=O)N(C(=S)S3)CCCOC)/C1=O,,,,,,
