,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,3050001,"N,N-Dipropyl-gamma-hydroxy-1-piperidinepentanamide monohydrochloride",CCCN(CCC)C(=O)CCC(CN1CCCCC1)O.Cl,,,,,,
1,3050002,"4-hydroxy-5-piperidin-1-yl-N,N-dipropylpentanamide",CCCN(CCC)C(=O)CCC(CN1CCCCC1)O,,,,,,
2,3050003,4-(4-Hydroxy-2-methyl-1-oxo-5-(1-piperidinyl)pentyl)morpholine monohydrochloride,CC(CC(CN1CCCCC1)O)C(=O)N2CCOCC2.Cl,,,,,,
3,3050004,4-Hydroxy-2-methyl-1-morpholin-4-yl-5-piperidin-1-ylpentan-1-one,CC(CC(CN1CCCCC1)O)C(=O)N2CCOCC2,,,,,,
4,3050005,"N,N-Diethyl-gamma-hydroxy-4-morpholinepentanamide monohydrochloride",CCN(CC)C(=O)CCC(CN1CCOCC1)O.Cl,,,,,,
5,3050006,"N,N-diethyl-4-hydroxy-5-morpholin-4-ylpentanamide",CCN(CC)C(=O)CCC(CN1CCOCC1)O,,,,,,
6,3050007,"N,N-Dibutyl-gamma-hydroxy-4-morpholinepentanamide monohydrochloride",CCCCN(CCCC)C(=O)CCC(CN1CCOCC1)O.Cl,,,,,,
7,3050008,"N,N-dibutyl-4-hydroxy-5-morpholin-4-ylpentanamide",CCCCN(CCCC)C(=O)CCC(CN1CCOCC1)O,,,,,,
8,3050009,4-(4-(Benzoyloxy)-5-(dipropylamino)-1-oxopentyl)morpholine monohydrochloride,CCCN(CCC)CC(CCC(=O)N1CCOCC1)OC(=O)C2=CC=CC=C2.Cl,,,,,,
9,3050010,[1-(Dipropylamino)-5-morpholin-4-yl-5-oxopentan-2-yl] benzoate,CCCN(CCC)CC(CCC(=O)N1CCOCC1)OC(=O)C2=CC=CC=C2,,,,,,
10,3050011,"4-(Benzoyloxy)-N,N-dibutyl-5-(dibutylamino)pentanamide monohydrochloride",CCCCN(CCCC)CC(CCC(=O)N(CCCC)CCCC)OC(=O)C1=CC=CC=C1.Cl,,,,,,
11,3050012,"[1,5-Bis(dibutylamino)-5-oxopentan-2-yl] benzoate",CCCCN(CCCC)CC(CCC(=O)N(CCCC)CCCC)OC(=O)C1=CC=CC=C1,,,,,,
12,3050013,"(N-Vinylcarbamoyl)BM, N-vinylpyrrolidone copolymer",C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CC4=COC=C4)C)C=C(C=C3)OC(=O)NC=C.C=CN1CCCC1=O,,,,,,
13,3050014,"[(1R,9R,13R)-10-(furan-3-ylmethyl)-1,13-dimethyl-10-azatricyclo[7.3.1.02,7]trideca-2(7),3,5-trien-4-yl] N-ethenylcarbamate",C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CC4=COC=C4)C)C=C(C=C3)OC(=O)NC=C,,,,,,
14,3050015,"2-Propenoic acid, 2-methyl-, 3-(3-furanylmethyl)-1,2,3,4,5,6-hexahydro-6,11-dimethyl-2,6-methano-3-benzazocin-8-yl ester, hydrochloride, (2R-(2-alpha,6-alpha,11R*))-, polymer with2-methyl-2-propenamide",C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CC4=COC=C4)C)C=C(C=C3)OC(=O)C(=C)C.CC(=C)C(=O)N.Cl,,,,,,
15,3050016,"[(1R,9R,13R)-10-(furan-3-ylmethyl)-1,13-dimethyl-10-azatricyclo[7.3.1.02,7]trideca-2(7),3,5-trien-4-yl] 2-methylprop-2-enoate",C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CC4=COC=C4)C)C=C(C=C3)OC(=O)C(=C)C,,,,,,
16,3050017,CID 3050017,CC=CC(C)(C(=O)O)S(=O)C.C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CC4=COC=C4)C)C=C(C=C3)OC(=O)C(=C)C,,,,,,
17,3050018,CID 3050018,CC=CC(C)(C(=O)O)S(=O)C,,,,,,
