,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,1375001,"(2S)-N-(3-chlorophenyl)-2-[[5-(4-methoxyphenyl)-1,3,4-oxadiazol-2-yl]sulfanyl]propanamide",C[C@@H](C(=O)NC1=CC(=CC=C1)Cl)SC2=NN=C(O2)C3=CC=C(C=C3)OC,,,,,,
1,1375002,"(2R)-N-(3-chlorophenyl)-2-[[5-(4-methoxyphenyl)-1,3,4-oxadiazol-2-yl]sulfanyl]propanamide",C[C@H](C(=O)NC1=CC(=CC=C1)Cl)SC2=NN=C(O2)C3=CC=C(C=C3)OC,,,,,,
2,1375003,N-(3-acetylphenyl)-2-[5-(4-methoxyphenyl)tetrazol-2-yl]acetamide,CC(=O)C1=CC(=CC=C1)NC(=O)CN2N=C(N=N2)C3=CC=C(C=C3)OC,,,,,,
3,1375004,"2-[3-[(3,4-dichlorophenyl)methylsulfanyl]-1H-1,2,4-triazol-5-yl]phenol",C1=CC=C(C(=C1)C2=NC(=NN2)SCC3=CC(=C(C=C3)Cl)Cl)O,,,,,,
4,1375005,"2-[5-[(3,4-Dichlorophenyl)methylsulfanyl]-1,3,4-oxadiazol-2-yl]phenol",C1=CC=C(C(=C1)C2=NN=C(O2)SCC3=CC(=C(C=C3)Cl)Cl)O,,,,,,
5,1375006,"2-[[5-[(2,6-dimethylanilino)methyl]-4-phenyl-1,2,4-triazol-3-yl]sulfanyl]-N-(2-methylphenyl)acetamide",CC1=C(C(=CC=C1)C)NCC2=NN=C(N2C3=CC=CC=C3)SCC(=O)NC4=CC=CC=C4C,,,,,,
6,1375007,"N-(4-methyl-3-nitrophenyl)-2-(1-phenylpyrazolo[3,4-d]pyrimidin-4-yl)sulfanylacetamide",CC1=C(C=C(C=C1)NC(=O)CSC2=NC=NC3=C2C=NN3C4=CC=CC=C4)[N+](=O)[O-],,,,,,
7,1375008,2-(4-benzylpiperidin-1-yl)-N-(2-ethyl-6-methylphenyl)acetamide,CCC1=CC=CC(=C1NC(=O)CN2CCC(CC2)CC3=CC=CC=C3)C,,,,,,
8,1375009,"2-[[5-(2-hydroxyphenyl)-1,3,4-oxadiazol-2-yl]sulfanyl]-N-(2,4,6-trimethylphenyl)acetamide",CC1=CC(=C(C(=C1)C)NC(=O)CSC2=NN=C(O2)C3=CC=CC=C3O)C,,,,,,
9,1375010,"2-[[5-(4-Methylphenyl)-4-naphthalen-1-yl-1,2,4-triazol-3-yl]sulfanyl]acetamide",CC1=CC=C(C=C1)C2=NN=C(N2C3=CC=CC4=CC=CC=C43)SCC(=O)N,,,,,,
10,1375011,"(2S)-N-(4-methylphenyl)-2-[[5-(4-methylphenyl)-1,3,4-oxadiazol-2-yl]sulfanyl]propanamide",CC1=CC=C(C=C1)C2=NN=C(O2)S[C@@H](C)C(=O)NC3=CC=C(C=C3)C,,,,,,
11,1375012,"(2R)-N-(4-methylphenyl)-2-[[5-(4-methylphenyl)-1,3,4-oxadiazol-2-yl]sulfanyl]propanamide",CC1=CC=C(C=C1)C2=NN=C(O2)S[C@H](C)C(=O)NC3=CC=C(C=C3)C,,,,,,
12,1375013,"(4-Methylphenyl) 2-[[5-(furan-2-yl)-4-phenyl-1,2,4-triazol-3-yl]sulfanyl]acetate",CC1=CC=C(C=C1)OC(=O)CSC2=NN=C(N2C3=CC=CC=C3)C4=CC=CO4,,,,,,
13,1375014,"(2S)-N-(4-acetylphenyl)-2-[(5-pyridin-3-yl-1H-1,2,4-triazol-3-yl)sulfanyl]propanamide",C[C@@H](C(=O)NC1=CC=C(C=C1)C(=O)C)SC2=NNC(=N2)C3=CN=CC=C3,,,,,,
