,CID,name,smiles,7.1 Drug Indication,8.1 Pharmacodynamics,8.2 MeSH Pharmacological Classification,"8.5 Absorption,Distribution and Excretion",8.6 Metabolism/Metabolites,8.7 Biological Half-Life
0,1950001,CID 1950001,CCCCN1C2=CC=CC=C2C(=O)C(=C1O)C(=O)O,,,,,,
1,1950002,CID 1950002,CC(C)C1=CC=C(C=C1)NC2=NC3=CC=CC=C3N=C2[N-]S(=O)(=O)C4=C(C=CC(=C4)Cl)Cl,,,,,,
2,1950003,"3,4,5-triethoxy-N-[(2-methyltetrazol-5-yl)carbamothioyl]benzamide",CCOC1=CC(=CC(=C1OCC)OCC)C(=O)NC(=S)NC2=NN(N=N2)C,,,,,,
3,1950004,CID 1950004,CCN1C2=C(C=C(C=C2)C)C(=C1O)N=[NH+]C(=O)C3=C(N=C4N3C5=CC=CC=C5N4C)C6=CC=CC=C6,,,,,,
4,1950005,"N'-[(3Z)-1-ethyl-5-methyl-2-oxo-1,2-dihydro-3H-indol-3-ylidene]-9-methyl-2-phenyl-9H-imidazo[1,2-a]benzimidazole-3-carbohydrazide",CCN1C2=C(C=C(C=C2)C)C(=C1O)N=NC(=O)C3=C(N=C4N3C5=CC=CC=C5N4C)C6=CC=CC=C6,,,,,,
5,1950006,CID 1950006,COC1=NC=CN=C1[N-]S(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=C(C=C3)F,,,,,,
6,1950007,4-fluoro-N-[[4-[(3-methoxypyrazin-2-yl)sulfamoyl]phenyl]carbamothioyl]benzamide,COC1=NC=CN=C1NS(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=C(C=C3)F,,,,,,
7,1950008,"1-{5-[(2-Chlorobenzyl)sulfanyl]-1,3,4-thiadiazol-2-yl}-3-phenylurea",C1=CC=C(C=C1)NC(=O)NC2=NN=C(S2)SCC3=CC=CC=C3Cl,,,,,,
8,1950009,"N-[3-(6-methyl-[1,2,4]triazolo[3,4-a]phthalazin-3-yl)phenyl]-3-nitrobenzamide",CC1=NN2C(=NN=C2C3=CC=CC=C13)C4=CC(=CC=C4)NC(=O)C5=CC(=CC=C5)[N+](=O)[O-],,,,,,
9,1950010,"(5E)-5-[[2-(3-hydroxypropylamino)-9-methyl-4-oxopyrido[1,2-a]pyrimidin-3-yl]methylidene]-3-[[(2R)-oxolan-2-yl]methyl]-2-sulfanylidene-1,3-thiazolidin-4-one",CC1=CC=CN2C1=NC(=C(C2=O)/C=C/3\C(=O)N(C(=S)S3)C[C@H]4CCCO4)NCCCO,,,,,,
10,1950011,"(5Z)-5-[[2-(3-hydroxypropylamino)-9-methyl-4-oxopyrido[1,2-a]pyrimidin-3-yl]methylidene]-3-[[(2R)-oxolan-2-yl]methyl]-2-sulfanylidene-1,3-thiazolidin-4-one",CC1=CC=CN2C1=NC(=C(C2=O)/C=C\3/C(=O)N(C(=S)S3)C[C@H]4CCCO4)NCCCO,,,,,,
11,1950012,"(5E)-5-[[2-(3-hydroxypropylamino)-9-methyl-4-oxopyrido[1,2-a]pyrimidin-3-yl]methylidene]-3-[[(2S)-oxolan-2-yl]methyl]-2-sulfanylidene-1,3-thiazolidin-4-one",CC1=CC=CN2C1=NC(=C(C2=O)/C=C/3\C(=O)N(C(=S)S3)C[C@@H]4CCCO4)NCCCO,,,,,,
12,1950013,CID 1950013,CC1=CC=C(C=C1)N\2C(=O)/C(=C/C3=C(C(=CC=C3)OC)OC)/S/C2=C(/C#N)\C(=O)NC4=CC=CC(=C4)C,,,,,,
13,1950014,"(5Z)-5-[[2-(3-hydroxypropylamino)-9-methyl-4-oxopyrido[1,2-a]pyrimidin-3-yl]methylidene]-3-[[(2S)-oxolan-2-yl]methyl]-2-sulfanylidene-1,3-thiazolidin-4-one",CC1=CC=CN2C1=NC(=C(C2=O)/C=C\3/C(=O)N(C(=S)S3)C[C@@H]4CCCO4)NCCCO,,,,,,
14,1950015,"1-(4-Chlorophenyl)-2-[(5-phenyl-8,9,10,11-tetrahydro[1]benzothieno[3,2-e][1,2,4]triazolo[4,3-c]pyrimidin-3-yl)sulfanyl]ethanone",C1CCC2=C(C1)C3=C(S2)N=C(N4C3=NN=C4SCC(=O)C5=CC=C(C=C5)Cl)C6=CC=CC=C6,,,,,,
15,1950016,"(2Z)-2-cyano-2-[(5E)-5-(2,3-dimethoxybenzylidene)-3-(4-methylphenyl)-4-oxo-1,3-thiazolidin-2-ylidene]-N-(3-methylphenyl)ethanamide",CC1=CC=C(C=C1)N\2C(=O)/C(=C\C3=C(C(=CC=C3)OC)OC)/S/C2=C(/C#N)\C(=O)NC4=CC=CC(=C4)C,,,,,,
16,1950017,"[(2S)-3-ethoxy-2-(ethoxycarbonylamino)-1,1,1-trifluoro-3-oxopropan-2-yl]-[(4-fluorophenyl)methyl]azanium",CCOC(=O)[C@@](C(F)(F)F)([NH2+]CC1=CC=C(C=C1)F)NC(=O)OCC,,,,,,
17,1950018,"ethyl (2R)-2-(ethoxycarbonylamino)-3,3,3-trifluoro-2-[(4-fluorophenyl)methylamino]propanoate",CCOC(=O)[C@@](C(F)(F)F)(NCC1=CC=C(C=C1)F)NC(=O)OCC,,,,,,
18,1950019,"[(2R)-3-ethoxy-2-(ethoxycarbonylamino)-1,1,1-trifluoro-3-oxopropan-2-yl]-[(4-fluorophenyl)methyl]azanium",CCOC(=O)[C@](C(F)(F)F)([NH2+]CC1=CC=C(C=C1)F)NC(=O)OCC,,,,,,
19,1950020,"ethyl (2S)-2-(ethoxycarbonylamino)-3,3,3-trifluoro-2-[(4-fluorophenyl)methylamino]propanoate",CCOC(=O)[C@](C(F)(F)F)(NCC1=CC=C(C=C1)F)NC(=O)OCC,,,,,,
20,1950021,CID 1950021,CC1=CC=C(C=C1)N\2C(=O)/C(=C/C3=C(C(=CC=C3)OC)OC)/S/C2=C(\C#N)/C(=O)NC4=CC=CC(=C4)C,,,,,,
21,1950022,CID 1950022,C1=CC=C(C=C1)/C=C\CSC2=NN=C(O2)C3=C(C4=CC=CC=C4S3)Cl,,,,,,
22,1950023,"(2E)-2-cyano-2-[(5E)-5-[(2,3-dimethoxyphenyl)methylidene]-3-(4-methylphenyl)-4-oxo-1,3-thiazolidin-2-ylidene]-N-(3-methylphenyl)acetamide",CC1=CC=C(C=C1)N\2C(=O)/C(=C\C3=C(C(=CC=C3)OC)OC)/S/C2=C(\C#N)/C(=O)NC4=CC=CC(=C4)C,,,,,,
23,1950024,"2-(3-Chlorobenzo[b]thiophen-2-yl)-5-(cinnamylthio)-1,3,4-oxadiazole",C1=CC=C(C=C1)/C=C/CSC2=NN=C(O2)C3=C(C4=CC=CC=C4S3)Cl,,,,,,
24,1950025,CID 1950025,CC1=C(C=CC(=C1)Br)NC2=NC3=CC=CC=C3N=C2[N-]S(=O)(=O)C4=CC=C(C=C4)F,,,,,,
25,1950026,CID 1950026,C1=CC=C2C(=C1)N=C(C(=N2)[N-]S(=O)(=O)C3=C(C=CC(=C3)Cl)Cl)NC4=CC(=C(C=C4)Cl)Cl,,,,,,
26,1950027,"2,5-dichloro-N-{3-[(3,4-dichlorophenyl)amino]quinoxalin-2-yl}benzenesulfonamide",C1=CC=C2C(=C1)N=C(C(=N2)NS(=O)(=O)C3=C(C=CC(=C3)Cl)Cl)NC4=CC(=C(C=C4)Cl)Cl,,,,,,
27,1950028,C20H23N3O2S3,CC(C)CC1=NC2=C(C3=C1CCC3)C4=C(S2)C(=NC(=N4)SC)SCC(=O)OC,,,,,,
28,1950029,"[3-(4-Amino-1,2,5-oxadiazol-3-yl)-5-[[[2-[(4-fluorophenyl)methoxy]-3-methoxyphenyl]methylideneamino]carbamoyl]triazol-4-yl]methyl-dimethylazanium",C[NH+](C)CC1=C(N=NN1C2=NON=C2N)C(=O)NN=CC3=C(C(=CC=C3)OC)OCC4=CC=C(C=C4)F,,,,,,
29,1950030,"1-(4-amino-1,2,5-oxadiazol-3-yl)-5-[(dimethylamino)methyl]-N-[[2-[(4-fluorophenyl)methoxy]-3-methoxyphenyl]methylideneamino]triazole-4-carboxamide",CN(C)CC1=C(N=NN1C2=NON=C2N)C(=O)NN=CC3=C(C(=CC=C3)OC)OCC4=CC=C(C=C4)F,,,,,,
30,1950031,CID 1950031,C1=CC=C(C=C1)C2=C(NC(=[NH+]2)C3=CC=C(C=C3)O)C4=C(C(=CC=C4)Cl)Cl,,,,,,
31,1950032,"4-[4-(2,3-dichlorophenyl)-5-phenyl-1H-imidazol-2-yl]phenol",C1=CC=C(C=C1)C2=C(NC(=N2)C3=CC=C(C=C3)O)C4=C(C(=CC=C4)Cl)Cl,,,,,,
32,1950033,"6-(2,5-dimethoxyphenyl)-3-phenyl-5H-[1,2,4]triazolo[3,4-b][1,3,4]thiadiazine",COC1=CC(=C(C=C1)OC)C2=CSC3=NN=C(N3N2)C4=CC=CC=C4,,,,,,
33,1950034,"4-(8,9-diphenylfuro[3,2-e][1,2,4]triazolo[1,5-c]pyrimidin-2-yl)-N,N-dimethylaniline",CN(C)C1=CC=C(C=C1)C2=NN3C=NC4=C(C3=N2)C(=C(O4)C5=CC=CC=C5)C6=CC=CC=C6,,,,,,
34,1950035,CID 1950035,COC1=CC=CC=C1/C=C\C=[NH+]NC(=O)C2=CC3=C(C=C2)N=CN3,,,,,,
35,1950036,CID 1950036,COC1=CC=CC=C1/C=C\C=NNC(=O)C2=CC3=C(C=C2)N=CN3,,,,,,
36,1950037,"tert-butyl [(1S)-1-{5-[(3-methylbut-2-en-1-yl)sulfanyl]-1,3,4-oxadiazol-2-yl}-2-phenylethyl]carbamate",CC(=CCSC1=NN=C(O1)[C@H](CC2=CC=CC=C2)NC(=O)OC(C)(C)C)C,,,,,,
37,1950038,"2-ethylbutyl 1-(3-acetylphenyl)-2-amino-1H-pyrrolo[2,3-b]quinoxaline-3-carboxylate",CCC(CC)COC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)C4=CC=CC(=C4)C(=O)C)N,,,,,,
38,1950039,CID 1950039,COC1=CC=CC=C1/C=C/C=[NH+]NC(=O)C2=CC3=C(C=C2)N=CN3,,,,,,
39,1950040,N-[[(E)-3-(2-methoxyphenyl)prop-2-enylidene]amino]-3H-benzimidazole-5-carboxamide,COC1=CC=CC=C1/C=C/C=NNC(=O)C2=CC3=C(C=C2)N=CN3,,,,,,
