,CID,name,smiles,7.1-Drug Indication,8.1-Pharmacodynamics,8.2-MeSH Pharmacological Classification,"8.5-Absorption, Distribution and Excretion",8.6-Metabolism/Metabolites,8.7-Biological Half-Life
0,1930001,"2-Ethoxy-2-oxoethyl 3,5-dibromo-2-hydroxybenzoate",CCOC(=O)COC(=O)C1=C(C(=CC(=C1)Br)Br)O,,,,,,
1,1930002,"5-bromo-N-{2-chloro-5-[5-(propan-2-yl)-1,3-benzoxazol-2-yl]phenyl}naphthalene-1-carboxamide",CC(C)C1=CC2=C(C=C1)OC(=N2)C3=CC(=C(C=C3)Cl)NC(=O)C4=CC=CC5=C4C=CC=C5Br,,,,,,
2,1930003,CID 1930003,CCCCC[N+]1=C(NC2=CC=CC=C21)CNC(=O)C3=CC=CC=C3,,,,,,
3,1930004,"2-[(4-methyl-5-phenyl-1,2,4-triazol-3-yl)sulfanyl]-N-(pyridin-3-ylmethylideneamino)acetamide",CN1C(=NN=C1SCC(=O)NN=CC2=CN=CC=C2)C3=CC=CC=C3,,,,,,
4,1930005,"(5E)-5-{4-[(4-fluorobenzyl)oxy]benzylidene}-1,3-thiazolidine-2,4-dione",C1=CC(=CC=C1COC2=CC=C(C=C2)/C=C/3\C(=O)NC(=O)S3)F,,,,,,
5,1930006,"methyl (2S)-3,3,3-trifluoro-2-(2-phenylhydrazinyl)-2-(propanoylamino)propanoate",CCC(=O)N[C@](C(=O)OC)(C(F)(F)F)NNC1=CC=CC=C1,,,,,,
6,1930007,CID 1930007,CC1=C(C=CC(=C1)OC)C(=O)[C@H]2[C@@H](N(C(=O)C2=O)CCOC)C3=CC=C(C=C3)Br,,,,,,
7,1930008,CID 1930008,CC1=C(C=CC(=C1)OC)C(=O)[C@@H]2[C@H](N(C(=O)C2=O)CCOC)C3=CC=C(C=C3)Br,,,,,,
8,1930009,"4,4'-{[6-(Diethylamino)-1,3,5-triazine-2,4-diyl]bis(oxy)}dibenzohydrazide",CCN(CC)C1=NC(=NC(=N1)OC2=CC=C(C=C2)C(=O)NN)OC3=CC=C(C=C3)C(=O)NN,,,,,,
9,1930010,CID 1930010,CC1=CC=C(O1)C(=O)[C@H]2[C@@H](N(C(=O)C2=O)C3=NC=CC=N3)C4=CC=C(C=C4)Cl,,,,,,
10,1930011,CID 1930011,CC1=CC=C(O1)C(=O)[C@@H]2[C@H](N(C(=O)C2=O)C3=NC=CC=N3)C4=CC=C(C=C4)Cl,,,,,,
11,1930012,"2-(butylsulfanyl)-8,8-dimethyl-3-(4-methylphenyl)-3,6,8,9-tetrahydro-4H-pyrano[3',4':5,6]pyrido[2,3-d]pyrimidin-4-one",CCCCSC1=NC2=C(C=C3COC(CC3=N2)(C)C)C(=O)N1C4=CC=C(C=C4)C,,,,,,
12,1930013,"(5E)-5-{[1-(4-bromonaphthalen-1-yl)-2,5-dimethyl-1H-pyrrol-3-yl]methylidene}-3-(furan-2-ylmethyl)-6-hydroxypyrimidine-2,4(3H,5H)-dione",CC1=CC(=C(N1C2=CC=C(C3=CC=CC=C32)Br)C)/C=C/4\C(=O)NC(=O)N(C4=O)CC5=CC=CO5,,,,,,
13,1930014,"(2E)-2-[4-(4-chlorophenyl)-1,3-thiazol-2-yl]-3-(2,3-dihydro-1,4-benzodioxin-6-ylamino)prop-2-enenitrile",C1COC2=C(O1)C=CC(=C2)N/C=C(\C#N)/C3=NC(=CS3)C4=CC=C(C=C4)Cl,,,,,,
