,CID,name,smiles,7.1 Drug Indication,8.1 Pharmacodynamics,8.2 MeSH Pharmacological Classification,"8.5 Absorption,Distribution and Excretion",8.6 Metabolism/Metabolites,8.7 Biological Half-Life
0,1985001,CID 1985001,CCCCN1C(=O)[C@@H](C(=O)NC1=O)/C(=C/C)/NCCC[N+]2=CNC=C2,,,,,,
1,1985002,"(3-Benzoyl-2-methyl-1,1-dioxo-1lambda6,2-benzothiazin-4-yl) 2-(4-methoxyphenoxy)acetate",CN1C(=C(C2=CC=CC=C2S1(=O)=O)OC(=O)COC3=CC=C(C=C3)OC)C(=O)C4=CC=CC=C4,,,,,,
2,1985003,"2-ethylbutyl 2-amino-1-(3,4-dimethoxyphenyl)-1H-pyrrolo[2,3-b]quinoxaline-3-carboxylate",CCC(CC)COC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)C4=CC(=C(C=C4)OC)OC)N,,,,,,
3,1985004,CID 1985004,CC1=[N+](C2=C(N1)C=C(C=C2)NCC3=[N+](C4=CC=CC=C4N3)CC5=CC=CC=C5)C,,,,,,
4,1985005,"(10S,11S,15R,16R)-16-(4-bromophenyl)-13-(4-chlorophenyl)-13-aza-1-azoniatetracyclo[8.6.0.03,8.011,15]hexadeca-3,5,7-triene-12,14-dione",C1[C@H]2[C@@H]3[C@H]([C@@H]([NH+]2CC4=CC=CC=C41)C5=CC=C(C=C5)Br)C(=O)N(C3=O)C6=CC=C(C=C6)Cl,,,,,,
5,1985006,"(10S,11S,15R,16R)-16-(4-bromophenyl)-13-(4-chlorophenyl)-1,13-diazatetracyclo[8.6.0.03,8.011,15]hexadeca-3,5,7-triene-12,14-dione",C1[C@H]2[C@@H]3[C@H]([C@@H](N2CC4=CC=CC=C41)C5=CC=C(C=C5)Br)C(=O)N(C3=O)C6=CC=C(C=C6)Cl,,,,,,
6,1985007,"N-(2-ethylphenyl)-2-{[4-(furan-2-ylmethyl)-5-(pyridin-4-yl)-4H-1,2,4-triazol-3-yl]sulfanyl}acetamide",CCC1=CC=CC=C1NC(=O)CSC2=NN=C(N2CC3=CC=CO3)C4=CC=NC=C4,,,,,,
7,1985008,"2-(biphenyl-4-yl)-4-phenyl-6H-1,3-oxazin-6-one",C1=CC=C(C=C1)C2=CC=C(C=C2)C3=NC(=CC(=O)O3)C4=CC=CC=C4,,,,,,
8,1985009,"2-[2-amino-3-(phenylsulfonyl)-1H-pyrrolo[2,3-b]quinoxalin-1-yl]ethyl 4-fluorobenzoate",C1=CC=C(C=C1)S(=O)(=O)C2=C(N(C3=NC4=CC=CC=C4N=C23)CCOC(=O)C5=CC=C(C=C5)F)N,,,,,,
9,1985010,CID 1985010,CC1=CC(=C2C=C(C=CC2=[NH+]1)Br)SCC(=O)NN=CC3=CC=CC=C3,,,,,,
10,1985011,N-(benzylideneamino)-2-(6-bromo-2-methylquinolin-4-yl)sulfanylacetamide,CC1=CC(=C2C=C(C=CC2=N1)Br)SCC(=O)NN=CC3=CC=CC=C3,,,,,,
11,1985012,"(5E)-5-{[1-(4-chlorobenzyl)-1H-indol-3-yl]methylidene}-1-methylpyrimidine-2,4,6(1H,3H,5H)-trione",CN1C(=O)/C(=C/C2=CN(C3=CC=CC=C32)CC4=CC=C(C=C4)Cl)/C(=O)NC1=O,,,,,,
12,1985013,"(5Z)-5-[[1-[(4-chlorophenyl)methyl]indol-3-yl]methylidene]-1-methyl-1,3-diazinane-2,4,6-trione",CN1C(=O)/C(=C\C2=CN(C3=CC=CC=C32)CC4=CC=C(C=C4)Cl)/C(=O)NC1=O,,,,,,
