,CID,name,smiles,7.1,8.1,8.2,8.5,8.6,8.7
0,50001,"1-[4-[[(4S)-2-(2,4-dichlorophenyl)-2-(1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]-4-propan-2-ylpiperazine",CC(C)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3COC(O3)(CN4C=NC=N4)C5=C(C=C(C=C5)Cl)Cl,,,,,,
1,50002,"5-Phenacylideneimidazolidine-2,4-dione",C1=CC=C(C=C1)C(=O)C=C2C(=O)NC(=O)N2,,,,,,
2,50003,CID 50003,C1=CC(=CC=C1C(=O)C=C2C(=O)NC(=O)N2)Cl,,,,,,
3,50004,CID 50004,C1=CC(=CC=C1C(=O)C=C2C(=O)NC(=O)N2)Br,,,,,,
4,50005,2-Isopropoxyethyl carbamate,CC(C)OCCOC(=O)N,,,,,,
5,50006,"1,5-Dimethylhexyl acetate",CC(C)CCCC(C)OC(=O)C,,,,,,
6,50007,"1,4-Dimethylheptylamine",CCCC(C)CCC(C)N,,,,,,
7,50008,Isobutyl (hydroxymethyl)carbamate,CC(C)COC(=O)NCO,,,,,,
8,50009,"CARBONIC ACID, BUTYL-p-IODOBENZYL ESTER",CCCCOC(=O)OCC1=CC=C(C=C1)I,,,,,,
9,50010,"Carbonic acid, hexyl benzyl ester",CCCCCCOC(=O)OCC1=CC=CC=C1,,,,,,
10,50011,Hexyl m-iodobenzyl carbonate,CCCCCCOC(=O)OCC1=CC(=CC=C1)I,,,,,,
11,50012,p-Iodobenzyl hexanoate,CCCCCC(=O)OCC1=CC=C(C=C1)I,,,,,,
12,50013,"OCTANOIC ACID, p-IODOBENZYL ESTER",CCCCCCCC(=O)OCC1=CC=C(C=C1)I,,,,,,
13,50014,"CARBAMIC ACID, (p-IODOBENZYL)-, HEXYL ESTER",CCCCCCOC(=O)NCC1=CC=C(C=C1)I,,,,,,
14,50015,"Hexanoic acid, 6-((((4-iodophenyl)methoxy)carbonyl)amino)-",C1=CC(=CC=C1COC(=O)NCCCCCC(=O)O)I,,,,,,
15,50016,CID 50016,CC(=O)N(C)C1=C(C(=C(C(=C1I)C(=O)NCC(=O)NC2=C(C(=C(C(=C2I)C(=O)[O-])I)C(=O)NCCO)I)I)C(=O)NC)I.[Na+],,,,,,
16,50017,CID 50017,CCCC(CCCCCCCCC=CS(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],,,,,,
17,50018,CID 50018,CCCC(CCCCCCCCC=CS(=O)(=O)O)S(=O)(=O)O,,,,,,
18,50019,Manganous dicarbonate,C(=O)([O-])[O-].C(=O)([O-])[O-].[Mn+2],,,,,,
19,50020,"4-Ethoxybenzene-1,3-diamine sulfate",CCOC1=C(C=C(C=C1)N)N.OS(=O)(=O)O,,,,,,
20,50021,4-Methoxy-5-nitro-1H-imidazole,COC1=C(NC=N1)[N+](=O)[O-],,,,,,
21,50022,CID 50022,CCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],,,,,,
22,50023,1-Tetradecanesulfonic acid,CCCCCCCCCCCCCCS(=O)(=O)O,,,,,,
23,50024,"2-Butenoic acid, 3,7-dimethyl-6-octen-1-yl ester",CC=CC(=O)OCCC(C)CCC=C(C)C,,,,,,
24,50025,CID 50025,C1=CC=C2C(=C1)C3=C4C(=C2COS(=O)(=O)[O-])C=CC5=CC=CC(=C54)C=C3.[Na+],,,,,,
25,50026,6-Sulfooxymethylbenzo(a)pyrene,C1=CC=C2C(=C1)C3=C4C(=C2COS(=O)(=O)O)C=CC5=CC=CC(=C54)C=C3,,,,,['6-Sulfooxymethylbenzo(a)pyrene is a known human metabolite of 6-hydroxymethylbenzo[a]pyrene.'],
26,50027,CID 50027,CCCCN=C(C1=CC=C(C=C1)OC)S,,,,,,
27,50028,CID 50028,CC(C)CN=C(C1=CC=C(C=C1)Cl)S,,,,,,
28,50029,CID 50029,COC1=CC=CC=C1C(=NC2CCCCC2)S,,,,,,
29,50030,"[(4,6-Dichloropyridin-2-yl)oxy]acetic acid",C1=C(C=C(N=C1OCC(=O)O)Cl)Cl,,,,,,
30,50031,"(+)-alpha-Cyano-3-phenoxybenzyl (+)-cis-3-(2-chloro-3,3,3-trifluoroprop-1-en-1-yl)-2,2-dimethylcyclopropane carboxylate",CC1([C@@H]([C@@H]1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(C(F)(F)F)Cl)C,,,,,,
31,50032,o-Methoxycarbanilic acid 2-(dimethylamino)ethyl ester hydrochloride,C[NH+](C)CCOC(=O)NC1=CC=CC=C1OC.[Cl-],,,,,,
32,50033,2-(dimethylamino)ethyl N-(2-methoxyphenyl)carbamate,CN(C)CCOC(=O)NC1=CC=CC=C1OC,,,,,,
33,50034,m-Methoxycarbanilic acid 2-(dimethylamino)ethyl ester hydrochloride,C[NH+](C)CCOC(=O)NC1=CC(=CC=C1)OC.[Cl-],,,,,,
34,50035,2-(dimethylamino)ethyl N-(3-methoxyphenyl)carbamate,CN(C)CCOC(=O)NC1=CC(=CC=C1)OC,,,,,,
35,50036,p-Methoxycarbanilic acid 2-(dimethylamino)ethyl ester hydrochloride,C[NH+](C)CCOC(=O)NC1=CC=C(C=C1)OC.[Cl-],,,,,,
36,50037,2-dimethylaminoethyl N-(4-methoxyphenyl)carbamate,CN(C)CCOC(=O)NC1=CC=C(C=C1)OC,,,,,,
37,50038,2-(Dimethylamino)ethyl m-ethoxycarbanilate hydrochloride,CCOC1=CC=CC(=C1)NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
38,50039,2-dimethylaminoethyl N-(3-ethoxyphenyl)carbamate,CCOC1=CC=CC(=C1)NC(=O)OCCN(C)C,,,,,,
39,50040,2-(Dimethylamino)ethyl p-ethoxycarbanilate hydrochloride,CCOC1=CC=C(C=C1)NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
40,50041,2-dimethylaminoethyl N-(4-ethoxyphenyl)carbamate,CCOC1=CC=C(C=C1)NC(=O)OCCN(C)C,,,,,,
41,50042,o-Propoxycarbanilic acid 2-(dimethylamino)ethyl ester hydrochloride,CCCOC1=CC=CC=C1NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
42,50043,2-dimethylaminoethyl N-(2-propoxyphenyl)carbamate,CCCOC1=CC=CC=C1NC(=O)OCCN(C)C,,,,,,
43,50044,m-Propoxycarbanilic acid 2-(dimethylamino)ethyl ester hydrochloride,CCCOC1=CC=CC(=C1)NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
44,50045,2-dimethylaminoethyl N-(3-propoxyphenyl)carbamate,CCCOC1=CC=CC(=C1)NC(=O)OCCN(C)C,,,,,,
45,50046,p-Propoxycarbanilic acid 2-(dimethylamino)ethyl ester hydrochloride,CCCOC1=CC=C(C=C1)NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
46,50047,2-dimethylaminoethyl N-(4-propoxyphenyl)carbamate,CCCOC1=CC=C(C=C1)NC(=O)OCCN(C)C,,,,,,
47,50048,2-(Dimethylamino)ethyl o-butoxycarbanilate hydrochloride,CCCCOC1=CC=CC=C1NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
48,50049,2-dimethylaminoethyl N-(2-butoxyphenyl)carbamate,CCCCOC1=CC=CC=C1NC(=O)OCCN(C)C,,,,,,
49,50050,2-(Dimethylamino)ethyl m-butoxycarbanilate hydrochloride,CCCCOC1=CC=CC(=C1)NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
50,50051,2-dimethylaminoethyl N-(3-butoxyphenyl)carbamate,CCCCOC1=CC=CC(=C1)NC(=O)OCCN(C)C,,,,,,
51,50052,2-(Dimethylamino)ethyl p-butoxycarbanilate hydrochloride,CCCCOC1=CC=C(C=C1)NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
52,50053,2-dimethylaminoethyl N-(4-butoxyphenyl)carbamate,CCCCOC1=CC=C(C=C1)NC(=O)OCCN(C)C,,,,,,
53,50054,o-Pentyloxycarbanilic acid 2-(dimethylamino)ethyl ester hydrochloride,CCCCCOC1=CC=CC=C1NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
54,50055,2-dimethylaminoethyl N-(2-pentoxyphenyl)carbamate,CCCCCOC1=CC=CC=C1NC(=O)OCCN(C)C,,,,,,
55,50056,m-Pentyloxycarbanilic acid 2-(dimethylamino)ethyl ester hydrochloride,CCCCCOC1=CC=CC(=C1)NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
56,50057,2-dimethylaminoethyl N-(3-pentoxyphenyl)carbamate,CCCCCOC1=CC=CC(=C1)NC(=O)OCCN(C)C,,,,,,
57,50058,p-Pentyloxycarbanilic acid 2-(dimethylamino)ethyl ester hydrochloride,CCCCCOC1=CC=C(C=C1)NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
58,50059,2-dimethylaminoethyl N-(4-pentoxyphenyl)carbamate,CCCCCOC1=CC=C(C=C1)NC(=O)OCCN(C)C,,,,,,
59,50060,2-(Dimethylamino)ethyl o-(hexyloxy)carbanilate hydrochloride,CCCCCCOC1=CC=CC=C1NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
60,50061,2-dimethylaminoethyl N-(2-hexoxyphenyl)carbamate,CCCCCCOC1=CC=CC=C1NC(=O)OCCN(C)C,,,,,,
61,50062,2-(Dimethylamino)ethyl m-(hexyloxy)carbanilate hydrochloride,CCCCCCOC1=CC=CC(=C1)NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
62,50063,2-dimethylaminoethyl N-(3-hexoxyphenyl)carbamate,CCCCCCOC1=CC=CC(=C1)NC(=O)OCCN(C)C,,,,,,
63,50064,2-(Dimethylamino)ethyl o-(heptyloxy)carbanilate hydrochloride,CCCCCCCOC1=CC=CC=C1NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
64,50065,2-dimethylaminoethyl N-(2-heptoxyphenyl)carbamate,CCCCCCCOC1=CC=CC=C1NC(=O)OCCN(C)C,,,,,,
65,50066,"CARBANILIC ACID, m-HEPTYLOXY-, 2-(DIMETHYLAMINO)ETHYL ESTER, HYDROCHLORIDE",CCCCCCCOC1=CC=CC(=C1)NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
66,50067,2-dimethylaminoethyl N-(3-heptoxyphenyl)carbamate,CCCCCCCOC1=CC=CC(=C1)NC(=O)OCCN(C)C,,,,,,
67,50068,2-(Dimethylamino)ethyl p-heptyloxycarbanilate hydrochloride,CCCCCCCOC1=CC=C(C=C1)NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
68,50069,2-dimethylaminoethyl N-(4-heptoxyphenyl)carbamate,CCCCCCCOC1=CC=C(C=C1)NC(=O)OCCN(C)C,,,,,,
69,50070,o-Octyloxycarbanilic acid 2-(dimethylamino)ethyl ester hydrochloride,CCCCCCCCOC1=CC=CC=C1NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
70,50071,2-dimethylaminoethyl N-(2-octoxyphenyl)carbamate,CCCCCCCCOC1=CC=CC=C1NC(=O)OCCN(C)C,,,,,,
71,50072,m-Octyloxycarbanilic acid 2-(dimethylamino)ethyl ester hydrochloride,CCCCCCCCOC1=CC=CC(=C1)NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
72,50073,2-dimethylaminoethyl N-(3-octoxyphenyl)carbamate,CCCCCCCCOC1=CC=CC(=C1)NC(=O)OCCN(C)C,,,,,,
73,50074,p-Octyloxycarbanilic acid 2-(dimethylamino)ethyl ester hydrochloride,CCCCCCCCOC1=CC=C(C=C1)NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
74,50075,2-dimethylaminoethyl N-(4-octoxyphenyl)carbamate,CCCCCCCCOC1=CC=C(C=C1)NC(=O)OCCN(C)C,,,,,,
75,50076,o-Nonyloxycarbanilic acid 2-(dimethylamino)ethyl ester hydrochloride,CCCCCCCCCOC1=CC=CC=C1NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
76,50077,2-dimethylaminoethyl N-(2-nonoxyphenyl)carbamate,CCCCCCCCCOC1=CC=CC=C1NC(=O)OCCN(C)C,,,,,,
77,50078,m-Nonyloxycarbanilic acid 2-(dimethylamino)ethyl ester hydrochloride,CCCCCCCCCOC1=CC=CC(=C1)NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
78,50079,2-dimethylaminoethyl N-(3-nonoxyphenyl)carbamate,CCCCCCCCCOC1=CC=CC(=C1)NC(=O)OCCN(C)C,,,,,,
79,50080,p-Nonyloxycarbanilic acid 2-(dimethylamino)ethyl ester hydrochloride,CCCCCCCCCOC1=CC=C(C=C1)NC(=O)OCC[NH+](C)C.[Cl-],,,,,,
80,50081,2-(dimethylamino)ethyl N-(4-nonoxyphenyl)carbamate,CCCCCCCCCOC1=CC=C(C=C1)NC(=O)OCCN(C)C,,,,,,
